k	ST1	ST2	ST3	ST4	SC1	SC2	SR1	SD1
 1	 7.20000E+01	 8.20000E+01	 2.00000E+01	 2.00000E+01	 1.00707E+01	 6.00000E+02	 6.04000E+02	 4.69053E+02
 2	 7.20000E+01	 8.20000E+01	 2.06000E+01	 2.00000E+01	 2.98998E+01	 5.00591E+02	 6.04000E+02	 3.81159E+02
 3	 7.20000E+01	 8.20000E+01	 1.98000E+01	 2.01000E+01	 3.00000E+01	 4.93468E+02	 6.09000E+02	 3.76112E+02
 4	 7.20000E+01	 8.20000E+01	 2.00000E+01	 2.00000E+01	 3.00000E+01	 4.95249E+02	 6.20000E+02	 3.77374E+02
 5	 7.20000E+01	 8.20000E+01	 2.00000E+01	 2.00000E+01	 2.90670E+01	 4.95249E+02	 5.90000E+02	 3.77374E+02
 6	 7.20000E+01	 8.20000E+01	 2.05000E+01	 2.00000E+01	 2.54981E+01	 4.99700E+02	 5.30000E+02	 3.80528E+02
 7	 7.20000E+01	 8.20000E+01	 2.00000E+01	 2.00000E+01	 2.07395E+01	 4.95249E+02	 4.50000E+02	 3.77374E+02
 8	 7.20000E+01	 8.20000E+01	 2.00000E+01	 2.02000E+01	 1.89762E+01	 4.95249E+02	 4.20000E+02	 3.77374E+02
 9	 7.20000E+01	 8.20000E+01	 2.07000E+01	 2.00000E+01	 2.13343E+01	 5.01481E+02	 4.60000E+02	 3.81789E+02
 10	 7.20000E+01	 8.20000E+01	 2.00000E+01	 2.00000E+01	 2.25240E+01	 4.95249E+02	 4.80000E+02	 3.77374E+02
 11	 7.20000E+01	 8.20000E+01	 2.05000E+01	 2.00000E+01	 2.07395E+01	 4.99700E+02	 4.50000E+02	 3.80528E+02
 12	 7.20000E+01	 8.20000E+01	 1.90000E+01	 2.03000E+01	 2.25557E+01	 4.86345E+02	 4.80000E+02	 3.71066E+02
 13	 7.20000E+01	 8.20000E+01	 1.95000E+01	 2.00000E+01	 1.77654E+01	 4.90797E+02	 4.00000E+02	 3.74220E+02
 14	 7.20000E+01	 8.20000E+01	 2.00000E+01	 2.00000E+01	 2.07395E+01	 4.95249E+02	 4.50000E+02	 3.77374E+02
 15	 7.20000E+01	 8.20000E+01	 2.10000E+01	 2.00000E+01	 1.47913E+01	 5.04152E+02	 3.50000E+02	 3.83682E+02
