k	ST1	ST2	ST3	ST4	SC1	SC2	SR1	SD1
 1	 6.14841E+01	 7.14841E+01	 2.00000E+01	 2.00000E+01	 1.50000E+01	 4.50000E+02	 6.04000E+02	 2.46216E+02
 2	 7.21586E+01	 8.21586E+01	 2.06000E+01	 2.00000E+01	 1.50000E+01	 4.50000E+02	 6.04000E+02	 2.96362E+02
 3	 8.22859E+01	 9.22859E+01	 1.98000E+01	 2.01000E+01	 1.50000E+01	 4.50000E+02	 6.09000E+02	 3.43634E+02
 4	 9.21285E+01	 1.02128E+02	 2.00000E+01	 2.00000E+01	 1.50000E+01	 4.50000E+02	 6.20000E+02	 3.88016E+02
 5	 1.00087E+02	 1.10087E+02	 2.00000E+01	 2.00000E+01	 1.50000E+01	 4.50000E+02	 5.90000E+02	 4.31244E+02
 6	 1.05106E+02	 1.15106E+02	 2.05000E+01	 2.00000E+01	 1.50000E+01	 4.50000E+02	 5.30000E+02	 4.65956E+02
 7	 1.06599E+02	 1.16599E+02	 2.00000E+01	 2.00000E+01	 1.50000E+01	 4.50000E+02	 4.50000E+02	 4.88242E+02
 8	 1.06810E+02	 1.16810E+02	 2.00000E+01	 2.02000E+01	 1.50000E+01	 4.50000E+02	 4.20000E+02	 4.94797E+02
 9	 1.08579E+02	 1.18579E+02	 2.07000E+01	 2.00000E+01	 1.50000E+01	 4.50000E+02	 4.60000E+02	 4.95385E+02
 10	 1.11016E+02	 1.21016E+02	 2.00000E+01	 2.00000E+01	 1.50000E+01	 4.50000E+02	 4.80000E+02	 5.03495E+02
 11	 1.12092E+02	 1.22092E+02	 2.05000E+01	 2.00000E+01	 1.50000E+01	 4.50000E+02	 4.50000E+02	 5.13956E+02
 12	 1.14303E+02	 1.24303E+02	 1.90000E+01	 2.03000E+01	 1.50000E+01	 4.50000E+02	 4.80000E+02	 5.19411E+02
 13	 1.13164E+02	 1.23164E+02	 1.95000E+01	 2.00000E+01	 1.50000E+01	 4.50000E+02	 4.00000E+02	 5.28877E+02
 14	 1.14088E+02	 1.24088E+02	 2.00000E+01	 2.00000E+01	 1.50000E+01	 4.50000E+02	 4.50000E+02	 5.23633E+02
 15	 1.10982E+02	 1.20982E+02	 2.10000E+01	 2.00000E+01	 1.50000E+01	 4.50000E+02	 3.50000E+02	 5.27205E+02
