k	ST1	ST2	ST3	ST4	SC1	SC2	SR1	SD1
 1	 7.20000E+01	 8.20000E+01	 2.00000E+01	 2.00000E+01	-3.39119E-25	 0.00000E+00	 6.04000E+02	 4.69053E+02
 2	 7.20000E+01	 8.20000E+01	 2.06000E+01	 2.00000E+01	-3.39119E-25	 0.00000E+00	 6.04000E+02	 3.81159E+02
 3	 7.20000E+01	 8.20000E+01	 1.98000E+01	 2.01000E+01	-3.39119E-25	 0.00000E+00	 6.09000E+02	 3.76112E+02
 4	 7.20000E+01	 8.20000E+01	 2.00000E+01	 2.00000E+01	-3.39119E-25	 0.00000E+00	 6.20000E+02	 3.77374E+02
 5	 7.20000E+01	 8.20000E+01	 2.00000E+01	 2.00000E+01	-3.39119E-25	 0.00000E+00	 5.90000E+02	 3.77374E+02
 6	 7.20000E+01	 8.20000E+01	 2.05000E+01	 2.00000E+01	-3.39119E-25	 0.00000E+00	 5.30000E+02	 3.80528E+02
 7	 7.20000E+01	 8.20000E+01	 2.00000E+01	 2.00000E+01	-3.39119E-25	 0.00000E+00	 4.50000E+02	 3.77374E+02
 8	 7.20000E+01	 8.20000E+01	 2.00000E+01	 2.02000E+01	-3.39119E-25	 0.00000E+00	 4.20000E+02	 3.77374E+02
 9	 7.20000E+01	 8.20000E+01	 2.07000E+01	 2.00000E+01	-3.39119E-25	 0.00000E+00	 4.60000E+02	 3.81789E+02
 10	 7.20000E+01	 8.20000E+01	 2.00000E+01	 2.00000E+01	-3.39119E-25	 0.00000E+00	 4.80000E+02	 3.77374E+02
 11	 7.20000E+01	 8.20000E+01	 2.05000E+01	 2.00000E+01	-3.39119E-25	 0.00000E+00	 4.50000E+02	 3.80528E+02
 12	 7.20000E+01	 8.20000E+01	 1.90000E+01	 2.03000E+01	-3.39119E-25	 0.00000E+00	 4.80000E+02	 3.71066E+02
 13	 7.20000E+01	 8.20000E+01	 1.95000E+01	 2.00000E+01	-3.39119E-25	 0.00000E+00	 4.00000E+02	 3.74220E+02
 14	 7.20000E+01	 8.20000E+01	 2.00000E+01	 2.00000E+01	-3.39119E-25	 0.00000E+00	 4.50000E+02	 3.77374E+02
 15	 7.20000E+01	 8.20000E+01	 2.10000E+01	 2.00000E+01	-3.39119E-25	 0.00000E+00	 3.50000E+02	 3.83682E+02
